peduc,age,labor,tenure,agegrp,tenuregrp,college,working,wage
college,27,-3.4160933,1,20-29,0-3,yes,no,20.05
graduate,51,3.5018072,10,50-59,8 up,yes,yes,29.63
graduate,68,-.98720133,7,60 up,4-7,no,no,19.77
graduate,61,1.2748828,9,60 up,8 up,yes,yes,31.94
college,42,-1.0073264,4,40-49,4-7,no,yes,18.03
graduate,48,4.3124237,11,40-49,8 up,yes,yes,32.49
high school or equivalent,52,.73396176,5,50-59,4-7,no,no,14.57
high school or equivalent,32,1.9936855,5,30-39,4-7,no,yes,20.2
college,24,-.33579123,3,20-29,0-3,yes,yes,21.69
high school or equivalent,37,-.61514199,3,30-39,0-3,no,yes,16.66
graduate,62,.44547361,8,60 up,8 up,no,no,22.28
college,47,.98831385,6,40-49,4-7,no,yes,16.66
college,21,.69148618,1,20-29,0-3,no,no,11.81
high school or equivalent,64,-1.7544841,4,60 up,4-7,no,no,18.37
college,29,-1.0889232,2,20-29,0-3,yes,yes,21.31
high school or equivalent,38,1.1237463,4,30-39,4-7,no,yes,20.27
high school or equivalent,55,-.63349187,4,50-59,4-7,no,yes,14.71
graduate,31,1.2607775,6,30-39,4-7,no,yes,17.1
college,24,-.059147939,3,20-29,0-3,yes,yes,17.08
college,26,-1.4578754,2,20-29,0-3,yes,yes,18.26
college,45,-.74739087,4,40-49,4-7,no,yes,21
college,34,3.6866493,8,30-39,8 up,yes,yes,25.01
graduate,31,.17577532,5,30-39,4-7,yes,yes,21.74
high school or equivalent,49,1.8085977,6,40-49,4-7,no,yes,23.17
college,34,-2.4865675,1,30-39,0-3,no,yes,16.64
graduate,20,-2.1974497,0,20-29,0-3,yes,yes,17.69
high school or equivalent,28,2.3531361,5,20-29,4-7,no,no,17.46
high school or equivalent,57,3.9779673,9,50-59,8 up,no,yes,23.46
high school or equivalent,67,5.8305898,12,60 up,8 up,no,yes,23.17
high school or equivalent,30,3.0422146,6,30-39,4-7,no,yes,18.72
high school or equivalent,28,.44024795,3,20-29,0-3,no,yes,22.95
high school or equivalent,61,3.6664555,9,60 up,8 up,no,yes,22.97
college,55,3.1512754,9,50-59,8 up,yes,yes,29.62
college,47,.95214343,6,40-49,4-7,yes,yes,28.34
college,46,1.2895199,6,40-49,4-7,no,yes,18.29
college,36,.68045479,5,30-39,4-7,no,yes,17.98
college,47,.6893189,6,40-49,4-7,no,yes,20.53
college,65,-.63110018,6,60 up,4-7,no,no,16.64
graduate,47,.75419021,7,40-49,4-7,no,yes,18.42
graduate,57,-2.9289863,4,50-59,4-7,no,yes,18.98
college,40,.24644868,5,40-49,4-7,no,yes,15.84
high school or equivalent,64,-1.6643852,4,60 up,4-7,no,yes,18.12
college,44,-.93195319,4,40-49,4-7,no,yes,19.22
college,42,-.074209839,5,40-49,4-7,yes,yes,29.16
high school or equivalent,54,-2.9940884,2,50-59,0-3,no,yes,19.53
college,66,-.28919736,7,60 up,4-7,yes,yes,34.05
college,52,.90678382,7,50-59,4-7,yes,yes,30.87
college,31,.83481824,4,30-39,4-7,yes,yes,23.78
college,46,1.8486326,7,40-49,4-7,no,yes,18.15
high school or equivalent,73,1.098408,8,60 up,8 up,no,no,21.95
high school or equivalent,23,1.6743765,3,20-29,0-3,yes,no,19.01
college,74,-.26609766,8,60 up,8 up,yes,yes,30.55
college,36,.097342238,4,30-39,4-7,no,yes,19.38
high school or equivalent,30,-3.9536803,0,30-39,0-3,no,yes,19.66
high school or equivalent,51,.19170907,5,50-59,4-7,no,yes,15.18
high school or equivalent,45,1.8565347,6,40-49,4-7,no,yes,20.27
high school or equivalent,46,-.99558228,3,40-49,0-3,no,no,15.99
high school or equivalent,72,.05309391,7,60 up,4-7,no,yes,22.88
college,29,2.344141,6,20-29,4-7,no,yes,14.54
high school or equivalent,39,1.2334914,5,30-39,4-7,no,yes,19.27
graduate,47,-1.6294526,5,40-49,4-7,no,no,22.75
college,23,-1.0077577,2,20-29,0-3,no,no,13.83
college,39,-1.5326238,3,30-39,0-3,no,yes,16.92
high school or equivalent,63,3.5178196,9,60 up,8 up,yes,yes,33.16
college,53,-1.485494,4,50-59,4-7,no,yes,15.77
graduate,43,.5145576,6,40-49,4-7,yes,yes,29.6
college,38,.30083573,5,30-39,4-7,yes,yes,22.8
high school or equivalent,26,-2.6603613,0,20-29,0-3,yes,yes,20.33
college,69,-1.2028308,6,60 up,4-7,no,no,19.31
college,31,-1.5626613,2,30-39,0-3,yes,yes,23.93
graduate,35,.3381055,5,30-39,4-7,yes,yes,27.18
college,55,.53726196,7,50-59,4-7,no,yes,25.19
high school or equivalent,64,-.37787747,6,60 up,4-7,no,no,21.56
graduate,21,-.99505723,1,20-29,0-3,yes,yes,16.75
college,24,2.4845986,4,20-29,4-7,yes,yes,19.54
graduate,35,4.2061071,9,30-39,8 up,yes,yes,28.47
graduate,27,2.0626211,6,20-29,4-7,yes,yes,23.23
high school or equivalent,20,3.6734385,0,20-29,0-3,no,yes,14.2
graduate,35,-4.1524005,2,30-39,0-3,no,no,14.36
college,21,2.4663367,1,20-29,0-3,yes,yes,17.62
college,56,.18395486,6,50-59,4-7,no,yes,16.76
doctorate,63,-1.3933235,7,60 up,4-7,yes,yes,33.97
college,40,.9094317,5,40-49,4-7,no,yes,21.33
college,23,.9314962,3,20-29,0-3,no,no,17.02
college,28,-.81935143,2,20-29,0-3,no,no,16.75
college,60,-1.114422,5,60 up,4-7,yes,yes,26.63
graduate,32,-2.583122,2,30-39,0-3,yes,yes,23.24
college,23,-1.7452153,1,20-29,0-3,no,yes,14.55
graduate,42,-1.0106232,5,40-49,4-7,yes,yes,25.42
high school or equivalent,45,-.28930384,4,40-49,4-7,no,yes,22.44
college,60,.076556459,7,60 up,4-7,yes,yes,29.78
college,32,1.866328,6,30-39,4-7,no,yes,16.21
high school or equivalent,51,5.7835507,10,50-59,8 up,no,yes,25.49
college,37,.35230762,5,30-39,4-7,no,yes,16.9
college,27,1.7640749,5,20-29,4-7,yes,yes,23.89
graduate,20,-2.831219,0,20-29,0-3,yes,no,13.49
college,34,.18195461,4,30-39,4-7,no,yes,20.79
graduate,45,.13775386,6,40-49,4-7,yes,yes,29.21
graduate,42,.80018616,7,40-49,4-7,yes,yes,31.62
college,35,-4.0337133,1,30-39,0-3,yes,yes,21.4
college,42,-2.2575009,2,40-49,0-3,no,no,14.42
college,48,-2.3785405,3,40-49,0-3,yes,yes,27.55
high school or equivalent,67,.10982365,6,60 up,4-7,no,no,12.24
college,25,-.22915584,3,20-29,0-3,yes,yes,20.72
high school or equivalent,20,.87251765,0,20-29,0-3,no,no,12.12
high school or equivalent,49,.14348462,5,40-49,4-7,no,yes,14.35
college,47,-2.5983839,3,40-49,0-3,no,no,13.76
high school or equivalent,22,.38444814,2,20-29,0-3,no,no,11.88
college,56,4.2004385,10,50-59,8 up,no,yes,20.97
college,29,-2.8226273,1,20-29,0-3,no,no,14.64
college,54,-2.4800365,3,50-59,0-3,no,yes,16.6
graduate,74,1.6211683,11,60 up,8 up,yes,no,30.55
high school or equivalent,47,-1.2176527,3,40-49,0-3,no,yes,16.37
high school or equivalent,46,-1.9601461,2,40-49,0-3,yes,yes,27.68
high school or equivalent,58,.35524517,6,50-59,4-7,no,yes,21.36
high school or equivalent,34,-.7053628,2,30-39,0-3,no,yes,17.06
high school or equivalent,71,-.33806187,6,60 up,4-7,no,yes,18.3
graduate,58,-.41349486,7,50-59,4-7,yes,yes,29.57
high school or equivalent,38,.11331954,3,30-39,0-3,yes,yes,26.73
doctorate,26,.10932427,5,20-29,4-7,yes,yes,21.13
high school or equivalent,53,-3.2442131,2,50-59,0-3,yes,yes,26.76
high school or equivalent,21,-.7468605,1,20-29,0-3,no,yes,15.22
college,54,-2.6514678,3,50-59,0-3,yes,yes,27.98
college,23,1.3820546,3,20-29,0-3,yes,yes,20.48
high school or equivalent,42,-1.1364058,3,40-49,0-3,no,yes,19.75
high school or equivalent,25,2.2774966,4,20-29,4-7,yes,yes,20.75
high school or equivalent,27,.031260438,2,20-29,0-3,no,no,14.7
high school or equivalent,38,.98268682,4,30-39,4-7,no,yes,17.84
graduate,40,.67465693,6,40-49,4-7,no,yes,19.07
college,52,-1.7583342,4,50-59,4-7,no,yes,22.06
graduate,26,-.21580733,4,20-29,4-7,no,yes,14.76
college,39,2.237185,7,30-39,4-7,no,yes,17.52
high school or equivalent,39,1.226549,5,30-39,4-7,no,yes,18.72
college,43,-2.5300953,2,40-49,0-3,yes,no,25.25
high school or equivalent,58,-.99543351,4,50-59,4-7,no,no,18.83
high school or equivalent,54,-2.0633075,3,50-59,0-3,no,yes,19.72
college,53,-.77464068,5,50-59,4-7,yes,yes,30.02
college,60,1.8276277,8,60 up,8 up,no,yes,24.97
college,66,1.0571543,8,60 up,8 up,no,yes,18.42
college,40,2.1703053,7,40-49,4-7,no,yes,21.06
high school or equivalent,72,.56601137,7,60 up,4-7,no,no,19.52
high school or equivalent,38,-2.9136093,0,30-39,0-3,no,yes,19.83
high school or equivalent,53,2.0895095,7,50-59,4-7,no,yes,21.28
high school or equivalent,31,4.9208899,8,30-39,8 up,no,yes,20.34
college,21,-1.9864781,1,20-29,0-3,no,yes,13.72
graduate,57,-2.6986773,5,50-59,4-7,no,no,22.76
high school or equivalent,35,-.62707537,2,30-39,0-3,yes,yes,22.36
high school or equivalent,32,.51568437,3,30-39,0-3,no,yes,17.7
college,31,-.0027514964,4,30-39,4-7,no,yes,14.8
graduate,20,1.1926163,0,20-29,0-3,yes,yes,19.98
high school or equivalent,32,.23936918,3,30-39,0-3,no,yes,16.26
graduate,32,2.3501909,7,30-39,4-7,yes,yes,30.16
high school or equivalent,25,-1.6585877,0,20-29,0-3,no,yes,14.93
college,56,2.0484986,8,50-59,8 up,yes,yes,31.09
high school or equivalent,24,-.26775157,2,20-29,0-3,yes,no,20.71
college,38,-2.4975016,2,30-39,0-3,no,yes,19.73
high school or equivalent,22,1.8511899,2,20-29,0-3,no,yes,15.05
college,72,-1.2320112,6,60 up,4-7,yes,yes,30.51
college,48,-.70801222,5,40-49,4-7,no,yes,17.32
high school or equivalent,55,-.8627221,4,50-59,4-7,no,no,16.07
college,21,1.2184705,1,20-29,0-3,no,yes,19.04
graduate,25,-2.0942404,2,20-29,0-3,yes,no,15.61
graduate,46,1.2367517,7,40-49,4-7,yes,yes,28.25
college,39,-2.9439702,1,30-39,0-3,no,yes,16.59
high school or equivalent,26,-.65773571,1,20-29,0-3,no,yes,14.74
college,39,-2.1968381,2,30-39,0-3,no,yes,17.57
high school or equivalent,47,1.8658963,6,40-49,4-7,no,yes,15.97
graduate,69,.72631502,9,60 up,8 up,yes,yes,28.74
high school or equivalent,57,-.37715453,5,50-59,4-7,no,yes,19.06
high school or equivalent,62,5.4100108,11,60 up,8 up,no,yes,18.65
high school or equivalent,24,.70395416,3,20-29,0-3,no,no,14.43
high school or equivalent,71,3.9712417,11,60 up,8 up,no,no,24.8
college,51,-1.1231374,4,50-59,4-7,yes,no,27.43
high school or equivalent,47,-.12064269,4,40-49,4-7,yes,yes,26.7
college,43,1.6326289,6,40-49,4-7,yes,yes,31.81
graduate,25,-1.0494035,3,20-29,0-3,yes,yes,19.63
high school or equivalent,55,-1.1696742,4,50-59,4-7,no,no,13.4
doctorate,38,1.5989679,8,30-39,8 up,no,yes,22.04
college,22,.9278143,2,20-29,0-3,yes,yes,15.94
high school or equivalent,40,-2.4185331,1,40-49,0-3,no,yes,17.2
college,65,3.7864103,11,60 up,8 up,yes,yes,32.55
high school or equivalent,58,-3.6653366,2,50-59,0-3,no,no,17.4
doctorate,34,.26011223,6,30-39,4-7,yes,yes,24.91
college,50,-5.0438743,1,50-59,0-3,no,no,18.97
college,45,-1.0807824,4,40-49,4-7,yes,yes,28.55
college,46,-1.2898296,4,40-49,4-7,yes,yes,26.38
high school or equivalent,39,.35933039,4,30-39,4-7,no,yes,16.83
graduate,58,-.76009351,7,50-59,4-7,yes,yes,34.29
high school or equivalent,58,6.3553653,12,50-59,8 up,no,yes,24.29
college,27,-.46061182,3,20-29,0-3,yes,yes,18.74
college,32,1.4213476,5,30-39,4-7,yes,yes,25.24
high school or equivalent,42,.93701756,5,40-49,4-7,no,yes,17.77
graduate,74,.040062662,9,60 up,8 up,yes,no,31.99
college,65,-1.3436271,6,60 up,4-7,no,yes,19.03
college,41,1.6044637,6,40-49,4-7,no,yes,19.7
high school or equivalent,22,-1.4214187,0,20-29,0-3,yes,yes,16.48
college,27,.5678429,4,20-29,4-7,no,yes,19.22
college,40,.6256488,5,40-49,4-7,yes,yes,27.34
college,26,-2.4597137,1,20-29,0-3,yes,yes,22.77
high school or equivalent,49,-.68430585,4,40-49,4-7,no,yes,14.8
doctorate,43,.92181832,8,40-49,8 up,yes,yes,30.38
graduate,45,1.1780856,7,40-49,4-7,yes,yes,25.75
college,49,1.6904111,7,40-49,4-7,yes,yes,25.08
graduate,55,1.9009638,9,50-59,8 up,yes,yes,30.05
high school or equivalent,48,2.7318854,7,40-49,4-7,no,yes,21.05
high school or equivalent,28,3.4919589,6,20-29,4-7,yes,yes,24.16
high school or equivalent,73,.26755509,7,60 up,4-7,no,no,19.95
doctorate,58,.81138551,9,50-59,8 up,no,no,21.18
college,49,1.237077,7,40-49,4-7,yes,yes,27.22
college,32,2.3005102,6,30-39,4-7,yes,yes,25.42
college,35,-2.9021223,1,30-39,0-3,no,yes,18.28
high school or equivalent,37,-2.3905494,1,30-39,0-3,no,yes,15.39
high school or equivalent,45,.39295688,4,40-49,4-7,yes,yes,29.63
high school or equivalent,65,2.1189785,8,60 up,8 up,no,yes,25.76
high school or equivalent,20,.69075572,0,20-29,0-3,no,yes,15.02
high school or equivalent,34,-1.5027012,1,30-39,0-3,no,yes,13.72
college,55,.41117436,6,50-59,4-7,yes,yes,31.31
high school or equivalent,57,.96522212,6,50-59,4-7,no,yes,18.46
college,57,.7534284,7,50-59,4-7,no,no,17.96
college,37,.77763963,5,30-39,4-7,no,yes,18.71
graduate,35,.64184594,6,30-39,4-7,yes,yes,21.43
graduate,32,-.22541766,4,30-39,4-7,no,no,14.64
high school or equivalent,46,2.0526636,6,40-49,4-7,no,yes,23.16
college,29,-3.7101471,1,20-29,0-3,no,yes,18.78
college,33,1.5686967,5,30-39,4-7,yes,yes,22.74
college,47,1.3785394,7,40-49,4-7,no,yes,18.85
college,32,-1.0757284,3,30-39,0-3,no,no,13.23
high school or equivalent,55,-.00059741683,5,50-59,4-7,no,yes,19.26
high school or equivalent,28,1.9920206,4,20-29,4-7,no,yes,20.74
high school or equivalent,73,1.0054294,8,60 up,8 up,no,no,15.98
graduate,55,-.013492223,7,50-59,4-7,yes,yes,30.35
high school or equivalent,40,.42956284,4,40-49,4-7,yes,yes,25.36
high school or equivalent,45,-1.3105997,3,40-49,0-3,no,no,12.14
high school or equivalent,25,.92987704,3,20-29,0-3,no,yes,19.25
high school or equivalent,25,1.7566901,4,20-29,4-7,no,yes,21.34
college,30,2.320895,6,30-39,4-7,no,yes,17.12
college,59,-3.7363515,3,50-59,0-3,no,yes,20.17
high school or equivalent,42,.062637098,4,40-49,4-7,no,yes,16.43
graduate,32,3.49947,8,30-39,8 up,yes,yes,24.76
high school or equivalent,44,.45044515,4,40-49,4-7,no,yes,17.44
high school or equivalent,56,1.6399239,7,50-59,4-7,no,yes,18.04
high school or equivalent,48,-.37080619,4,40-49,4-7,no,yes,20.15
high school or equivalent,71,2.2077329,9,60 up,8 up,no,no,21.36
graduate,68,.90767604,9,60 up,8 up,yes,no,30.23
graduate,44,2.9432054,9,40-49,8 up,yes,yes,30.98
high school or equivalent,31,-1.259748,1,30-39,0-3,no,yes,12.64
graduate,22,1.8155383,2,20-29,0-3,yes,yes,21.27
high school or equivalent,22,2.3326766,2,20-29,0-3,no,yes,19.28
college,43,-5.3838725,0,40-49,0-3,no,yes,18.59
graduate,21,.30852503,1,20-29,0-3,yes,no,17.97
graduate,46,.069356494,6,40-49,4-7,yes,yes,32.21
high school or equivalent,70,4.4823203,11,60 up,8 up,no,no,19.7
college,21,3.0849185,1,20-29,0-3,no,no,16.79
graduate,37,3.7849026,9,30-39,8 up,yes,yes,26.11
college,42,-.70517677,4,40-49,4-7,yes,yes,24.18
college,44,.76519525,6,40-49,4-7,yes,yes,25.67
graduate,47,-2.0959544,4,40-49,4-7,yes,yes,25.2
college,24,1.2738203,4,20-29,4-7,yes,yes,22.05
college,23,1.6792283,3,20-29,0-3,no,no,16.53
college,27,-1.1683784,2,20-29,0-3,yes,yes,18.44
high school or equivalent,42,.56053603,4,40-49,4-7,no,yes,16.71
college,68,.26016405,8,60 up,8 up,no,yes,21.7
graduate,42,3.7464926,9,40-49,8 up,no,yes,16.62
high school or equivalent,41,-1.6757743,2,40-49,0-3,no,yes,16.68
high school or equivalent,55,.2150251,5,50-59,4-7,no,yes,20.37
graduate,52,1.3303374,8,50-59,8 up,yes,yes,31.18
graduate,45,-.41763112,6,40-49,4-7,yes,yes,26.84
high school or equivalent,61,3.9342291,10,60 up,8 up,no,no,19.4
high school or equivalent,55,-.73038512,4,50-59,4-7,no,yes,21.22
college,74,-1.0682726,7,60 up,4-7,no,no,22.34
high school or equivalent,31,-.22433469,2,30-39,0-3,yes,yes,20.39
college,23,2.8461964,3,20-29,0-3,no,yes,19.42
high school or equivalent,58,-1.4973519,4,50-59,4-7,yes,yes,28.38
college,25,-.58815759,2,20-29,0-3,no,yes,13.41
college,65,2.5468009,10,60 up,8 up,yes,yes,30.2
college,55,-1.7122695,4,50-59,4-7,yes,yes,29.21
college,32,-1.8742764,2,30-39,0-3,no,no,18.91
high school or equivalent,36,-2.6057782,0,30-39,0-3,no,yes,15.47
college,20,.290353,0,20-29,0-3,no,no,11.64
college,29,1.5260247,5,20-29,4-7,yes,yes,23.57
college,30,.98530769,4,30-39,4-7,yes,yes,27.5
college,54,-2.5225697,3,50-59,0-3,no,yes,17.53
college,43,-2.6880603,2,40-49,0-3,no,yes,13.4
high school or equivalent,37,1.1717756,4,30-39,4-7,no,yes,16.47
high school or equivalent,22,-.9927578,1,20-29,0-3,no,yes,15.92
graduate,49,-2.9956961,3,40-49,0-3,yes,yes,20.21
college,41,-1.054424,4,40-49,4-7,no,yes,18.83
high school or equivalent,49,-.7971915,4,40-49,4-7,yes,yes,24.92
college,63,1.2143914,8,60 up,8 up,no,no,16.41
college,36,.88579065,5,30-39,4-7,no,yes,16.37
graduate,21,2.4071729,1,20-29,0-3,yes,yes,14.79
high school or equivalent,37,1.4010065,5,30-39,4-7,no,yes,15.88
college,45,-.4838025,5,40-49,4-7,no,yes,17.08
high school or equivalent,69,.99185151,7,60 up,4-7,no,yes,19.45
college,65,-1.1523653,6,60 up,4-7,no,no,15.46
college,20,-5.1509614,0,20-29,0-3,no,no,13.08
high school or equivalent,64,-.47400376,5,60 up,4-7,no,no,19.5
high school or equivalent,39,-.40462062,3,30-39,0-3,yes,yes,28.88
high school or equivalent,21,-1.6591191,0,20-29,0-3,yes,yes,20.85
high school or equivalent,46,-1.9841249,2,40-49,0-3,no,yes,19.36
high school or equivalent,30,.84325033,3,30-39,0-3,no,yes,17.69
college,57,.24358428,6,50-59,4-7,no,yes,15.86
college,32,1.6278455,5,30-39,4-7,no,yes,17.96
college,41,4.1077042,9,40-49,8 up,yes,yes,28.33
graduate,26,-2.2390406,2,20-29,0-3,yes,yes,20.42
high school or equivalent,46,-.32186264,4,40-49,4-7,no,yes,21.24
high school or equivalent,50,2.23879,7,50-59,4-7,no,yes,21.83
high school or equivalent,52,-1.1577947,4,50-59,4-7,yes,yes,28.61
college,20,-1.7208446,0,20-29,0-3,no,no,18.95
high school or equivalent,64,.63048011,7,60 up,4-7,no,yes,23.72
high school or equivalent,41,-1.367057,2,40-49,0-3,no,no,18.09
college,47,1.6184206,7,40-49,4-7,no,yes,21.67
high school or equivalent,20,1.3429542,0,20-29,0-3,no,yes,15.91
high school or equivalent,44,-1.5302311,2,40-49,0-3,no,yes,18.47
graduate,31,-2.8102624,2,30-39,0-3,yes,yes,20.08
college,29,2.0367455,5,20-29,4-7,no,yes,16.99
graduate,27,-1.1049342,3,20-29,0-3,no,yes,17.22
graduate,64,1.347376,9,60 up,8 up,yes,yes,29.96
college,22,-1.3504611,1,20-29,0-3,no,no,11.47
college,49,.38028118,6,40-49,4-7,yes,yes,30.67
high school or equivalent,53,-1.2397153,4,50-59,4-7,yes,no,29.41
college,23,1.9993773,3,20-29,0-3,no,yes,16.5
college,42,-.32869267,4,40-49,4-7,yes,yes,21.58
college,59,.93922728,7,50-59,4-7,yes,yes,26.33
college,58,1.1501279,7,50-59,4-7,yes,yes,28.54
college,47,1.5177076,7,40-49,4-7,yes,yes,29.66
high school or equivalent,66,1.7191945,8,60 up,8 up,no,yes,23.75
high school or equivalent,27,-4.7075796,0,20-29,0-3,no,yes,12.05
college,26,1.4659278,5,20-29,4-7,no,yes,18.88
college,27,-2.9777031,1,20-29,0-3,no,no,12.69
college,62,.027878573,7,60 up,4-7,no,no,20.39
college,54,1.6828334,8,50-59,8 up,no,no,16.76
graduate,26,-1.2162914,3,20-29,0-3,yes,yes,25.79
high school or equivalent,26,-2.8252308,0,20-29,0-3,no,yes,14.29
high school or equivalent,46,1.6626172,6,40-49,4-7,no,yes,17.44
college,34,.9167459,5,30-39,4-7,no,yes,15.29
high school or equivalent,36,.68564373,4,30-39,4-7,no,yes,17.43
high school or equivalent,60,-.7347396,5,60 up,4-7,no,no,23.52
college,33,-.15795039,4,30-39,4-7,no,yes,15.29
high school or equivalent,28,-1.3870157,1,20-29,0-3,no,no,9.68
high school or equivalent,43,-2.3551123,1,40-49,0-3,no,yes,20.76
college,29,.66943842,4,20-29,4-7,no,yes,17.96
college,63,.18907842,7,60 up,4-7,no,no,17.49
high school or equivalent,34,.37488437,3,30-39,0-3,yes,yes,23.37
college,26,-.82560861,2,20-29,0-3,yes,yes,24.38
college,24,-2.2122793,1,20-29,0-3,no,no,12.71
college,55,3.120887,9,50-59,8 up,no,yes,20.87
graduate,41,3.313319,9,40-49,8 up,no,yes,15.39
high school or equivalent,44,-.40209499,3,40-49,0-3,yes,yes,28.62
college,45,3.934545,9,40-49,8 up,no,yes,22.07
high school or equivalent,26,1.3904858,3,20-29,0-3,no,yes,10.06
high school or equivalent,54,.18527603,5,50-59,4-7,no,yes,20.8
graduate,23,-.64593744,3,20-29,0-3,yes,yes,15.07
high school or equivalent,36,-.60090512,2,30-39,0-3,no,yes,18.05
graduate,22,-3.0899861,2,20-29,0-3,no,no,15.1
high school or equivalent,23,-1.8456771,0,20-29,0-3,no,no,16.1
high school or equivalent,67,-1.1451567,5,60 up,4-7,yes,yes,31.32
graduate,42,1.1892933,7,40-49,4-7,no,yes,16.36
college,24,-.77463239,2,20-29,0-3,no,yes,17.84
graduate,25,-.84783107,3,20-29,0-3,no,no,13.42
graduate,53,1.9947503,9,50-59,8 up,yes,yes,31.84
high school or equivalent,29,.98528987,3,20-29,0-3,no,yes,14.43
high school or equivalent,38,-2.3085961,1,30-39,0-3,no,yes,16.76
college,58,-2.8189509,3,50-59,0-3,no,no,14.98
graduate,60,3.9661431,11,60 up,8 up,no,no,19.18
college,46,-1.4527111,4,40-49,4-7,yes,yes,25.63
college,33,.53720385,4,30-39,4-7,yes,yes,22.83
college,40,2.3685663,7,40-49,4-7,yes,yes,29.6
high school or equivalent,29,.7899726,3,20-29,0-3,no,no,13.03
high school or equivalent,32,-4.2164688,0,30-39,0-3,no,no,16.07
college,31,4.6759772,8,30-39,8 up,no,yes,19.42
college,35,1.119644,5,30-39,4-7,no,yes,20.57
college,31,.59110409,4,30-39,4-7,yes,yes,22.87
high school or equivalent,59,-2.0029511,3,50-59,0-3,no,yes,18.71
high school or equivalent,40,-1.0993446,2,40-49,0-3,no,yes,22.49
college,38,1.7549163,6,30-39,4-7,yes,yes,28.73
high school or equivalent,37,-.90339577,2,30-39,0-3,no,yes,18.2
college,48,1.138648,6,40-49,4-7,yes,yes,29.89
high school or equivalent,56,-4.2208996,1,50-59,0-3,no,yes,16.94
college,53,1.8559408,8,50-59,8 up,no,yes,22.15
college,39,-3.037955,1,30-39,0-3,yes,yes,28.59
graduate,63,-2.3953602,5,60 up,4-7,no,yes,18.84
college,57,-.20280938,6,50-59,4-7,yes,yes,24.12
college,32,.46793285,4,30-39,4-7,no,yes,18.55
high school or equivalent,60,2.684582,8,60 up,8 up,no,yes,25.21
graduate,65,1.309763,9,60 up,8 up,no,yes,17.82
college,63,1.8037999,9,60 up,8 up,no,yes,23.74
doctorate,59,-.63892233,8,50-59,8 up,yes,yes,29.29
high school or equivalent,43,-1.5347301,2,40-49,0-3,no,yes,17.37
high school or equivalent,74,-1.6328607,5,60 up,4-7,no,no,18.26
high school or equivalent,21,-.7338075,1,20-29,0-3,no,no,13.78
high school or equivalent,25,-1.5202205,0,20-29,0-3,no,yes,14.47
graduate,30,-1.1904279,3,30-39,0-3,yes,yes,21.03
college,54,-.47776735,5,50-59,4-7,no,yes,17.25
high school or equivalent,35,1.5459778,5,30-39,4-7,no,yes,19.67
college,25,.78782666,4,20-29,4-7,yes,no,20.56
high school or equivalent,73,-2.1348262,5,60 up,4-7,yes,yes,30.7
college,37,-.45693362,4,30-39,4-7,no,yes,18.91
high school or equivalent,39,2.5122271,6,30-39,4-7,no,yes,18.57
high school or equivalent,31,2.4976079,5,30-39,4-7,no,yes,24.26
college,49,1.3348454,7,40-49,4-7,yes,yes,31.91
high school or equivalent,20,1.0607294,0,20-29,0-3,no,yes,9.970000000000001
